Level,LevelName,Focus,QuestionID,Type,Gleams,Alicorns,Stakeholder,Question,Grade1,Grade2,Grade3,Grade4,Grade5
L0,Conception (Spark),Resilience,D1,Dimension,10,0.1,Startup (Founder),Do you have burning passion to solve a problem that keeps you awake?,I have no passion evident; I am treating as job,I am interested but easily distracted,I am personal connection clear; I am articulates why,I am deep passion evident; I am already investing time/money,I would do for free; I am defines identity
L0,Conception (Spark),Resilience,D1,Dimension,10,0.1,Investor,Are you excited to spot raw untapped talent before they have pitch?,I cannot spot talent; I am wrong criteria,I am finds pitched founders; I miss raw talent,I am identifies 1-2 diamonds; I am proven track record,I am consistently finds pre-traction founders,I am legendary for finding founders early
L0,Conception (Spark),Resilience,D1,Dimension,10,0.1,Corporate Partner,Do you have list of unsolved problems for a founder to tackle?,I have no awareness of problems,I am generic problems listed; I am vague,I am clear business problems identified,I am strategic problems with solutions ready,I am transformative sector-wide problems
L0,Conception (Spark),Resilience,D1,Dimension,10,0.1,Enabler (Accelerator),Can you offer safe sandbox for dreamers to play risk-free?,I have no safe space; I am high-risk,I am experimental but unstructured,I am sandbox exists; I am learning happening,I am structured sandbox; I am proven learning,I am legendary safe space; I am founders thrive
L0,Conception (Spark),Resilience,D1,Dimension,10,0.1,Facilitator (Services),Can you offer simple low-cost advice to structure dreams?,I am jargon-heavy; I cannot explain,I am basic explanation; I am lacks simplicity,I am simple clear advice offered regularly,I am mentor-quality simplification delivered,I am transformative clarity; I am inspires action
L0,Conception (Spark),Resilience,D1,Dimension,10,0.1,Government/Policy,Do you offer safety nets encouraging people to take risk?,I have no safety nets; I am high perceived risk,I am limited safety; I am still very risky,I am clear safety nets for early-stage,I am strong nets; I am measurable risk reduction,I am comprehensive safety; I am culture shift
L0,Conception (Spark),Resilience,D1,Dimension,10,0.1,Influencer/Media,Can you spot cultural waves/trends before they become businesses?,I chase hype; I miss real trends,I am sometimes spots trends; I am inconsistent,I am identifies emerging trends; I am audience listens,I am ahead of curve; I am predictive eye,I define trends; I create movements
L0,Conception (Spark),Resilience,D1,Dimension,10,0.1,Mentor,Are you ready to guide employee→entrepreneur transition?,I have no understanding of transition,I am aware of challenges; I am unsure how help,I can guide transition; I am proven path,I am veteran guide; I am deep understanding shown,I am transformed many into founders; I am legacy
L0,Conception (Spark),Resilience,D1,Dimension,10,0.1,Professional (Talent),Curious about joining founding team for equity vs salary?,I am risk-averse; I am salary only mindset,I am considering equity; I am still hesitant,I am willing to take equity risk,I am actively seeking equity stake position,I am all-in on founding; I am equity-maximizing
L0,Conception (Spark),Resilience,D2,Dimension,10,0.1,Startup (Founder),Can you clearly articulate why this problem matters personally?,I cannot articulate problem; I am vague thinking,I am basic explanation; I am lacks depth,I am clear explanation with personal story,I am compelling narrative with specific examples,I am transformative story; I am demonstrates maturity
L0,Conception (Spark),Resilience,D2,Dimension,10,0.1,Investor,Can you recognize passionate founders despite rough presentation?,I dismiss passion; I am confidence-focused,I value passion but easily fooled,I am clear passion detector; I am assesses staying,I am sophisticated assessment; I am proven track,I am legendary passion gauge; I am never wrong
L0,Conception (Spark),Resilience,D2,Dimension,10,0.1,Corporate Partner,Can you articulate these problems clearly?,I am problems remain vague; I am unclear thinking,I am superficial understanding; I am incomplete,I am clear articulation with strategic insights,I am deep understanding; I am systems thinking shown,I am transformative clarity; I am ecosystem view
L0,Conception (Spark),Resilience,D2,Dimension,10,0.1,Enabler (Accelerator),Is your environment psychologically safe for experimentation?,I am high stakes; I am punishment for failure,I am some safety present; I am fear remains,I am safe to experiment; I am failures normalized,I am deep psychological safety; I am courage visible,I am legendary enabling vulnerability; I am shift
L0,Conception (Spark),Resilience,D2,Dimension,10,0.1,Facilitator (Services),Can you explain complex concepts in simple terms?,I am jargon-heavy; I cannot simplify,I am better than nothing; I am still complex,I am clear explanations; I am accessible language,I am mentor-quality simplification delivered,I can explain anything simply; I am revered
L0,Conception (Spark),Resilience,D2,Dimension,10,0.1,Government/Policy,Can you articulate why entrepreneurship matters?,I am entrepreneurship seen as risky only,I am acknowledges but undervalues importance,I am clear value articulation; I am policy aligned,I am deep commitment shown; I am policy designed,I am entrepreneurship central to vision
L0,Conception (Spark),Resilience,D2,Dimension,10,0.1,Influencer/Media,Do you have credibility identifying emerging opportunities?,I have no credibility; I am ignored by audience,I am minor credibility; I am limited following,I am recognized expert; I am followers trust,I am major credibility; I am trend-setter status,I define discourse; I am globally recognized
L0,Conception (Spark),Resilience,D2,Dimension,10,0.1,Mentor,Can you relate to founder's emotional journey?,I am disconnected from emotions; I am cold,I am acknowledges emotions; I am unsure response,I am empathetic; I can guide through doubt,I am deep understanding; I am walks journey,I transform through presence; I am legend
L0,Conception (Spark),Resilience,D2,Dimension,10,0.1,Professional (Talent),Do you understand risks and rewards of early-stage?,I have no understanding; I am risk-unaware,I am vague; I am hesitant about risks,I am clear; I am willing risk understanding,I am deep; I am actively seeking positions,I am all-in; I am equity-maximizing career
L0,Conception (Spark),Resilience,D3,Dimension,10,0.1,Startup (Founder),Are your personal values aligned with solving this?,I have no values awareness; I am misaligned,I am vague alignment; I am inconsistency visible,I am clear values statement; I am aligned problem,I am deeply held values; I am actions reflect,I am values-driven identity; I am complete alignment
L0,Conception (Spark),Resilience,D3,Dimension,10,0.1,Investor,Are selection criteria aligned with finding resilience?,I am criteria biased; I miss resilience,I am criteria exist; I miss important signals,I am clear resilience criteria; I am proven eye,I am sophisticated criteria; I am predictive accuracy,I am legendary; I am never backed weak founders
L0,Conception (Spark),Resilience,D3,Dimension,10,0.1,Corporate Partner,Are you genuinely open to external solutions?,I am closed; I am diy preference only,I am acknowledged but skeptical mindset,I am genuinely open; I am some barriers exist,I am actively seeking; I am resources allocated,I am transformation through external; I am shift
L0,Conception (Spark),Resilience,D3,Dimension,10,0.1,Enabler (Accelerator),Are programs aligned with early-stage resilience?,I am programs misaligned; I am stress founders,I am some resilience focus; I am incomplete,I am clear resilience curriculum offered,I am deep resilience program; I am mentor-supported,I am legendary resilience program; I am transforms
L0,Conception (Spark),Resilience,D3,Dimension,10,0.1,Facilitator (Services),Are your services aligned with early-stage needs?,I am services misaligned; I am wrong stage,I am generic services; I miss early needs,I am early-stage focused; I am relevant support,I am deep early-stage expertise; I am customized,I am founder-beloved early-stage champion
L0,Conception (Spark),Resilience,D3,Dimension,10,0.1,Government/Policy,Are policies aligned with removing barriers?,I am create barriers; I am unhelpful policies,I am neutral at best; I am barriers remain,I am remove key barriers effectively,I am comprehensive barrier removal done,I am policy designed entirely around founders
L0,Conception (Spark),Resilience,D3,Dimension,10,0.1,Influencer/Media,Are platforms aligned with early-stage storytelling?,I focus exits; I ignore early-stage,I am occasional early-stage; I am mostly late,I am balanced coverage; I am some early-stage,I am actively amplifies early-stage founders,I am early-stage narrative champion leader
L0,Conception (Spark),Resilience,D3,Dimension,10,0.1,Mentor,Do you align on entrepreneurship vision?,I am different vision; I am conflicting advice,I am some vision; I am gaps exist,I am aligned on entrepreneurship vision,I am deeply aligned; I am shared philosophy,I am visionary alignment; I am transformative
L0,Conception (Spark),Resilience,D3,Dimension,10,0.1,Professional (Talent),Are your values aligned with startup culture?,I am traditional career; I am misaligned,I value startup; I am still hesitant,I am clear startup culture alignment,I am actively embracing startup values,I am all-in startup culture; I am equity-aligned
L0,Conception (Spark),Resilience,D4,Dimension,10,0.1,Startup (Founder),Have you experienced this problem firsthand?,I have no firsthand experience; I am theory only,I am indirect experience; I am surface understanding,I am direct experience; I am well-researched,I am deep firsthand experience; I am nuanced,I am lived expertise; I can mentor others
L0,Conception (Spark),Resilience,D4,Dimension,10,0.1,Investor,Have you successfully backed early-stage founders?,I have no early-stage exits; I am portfolio failed,I am few exits; I am mostly failures,I am several exits; I am learning pattern,I am multiple exits; I am repeatable success,I am legendary investor; I am 10x+ returns
L0,Conception (Spark),Resilience,D4,Dimension,10,0.1,Corporate Partner,Have you engaged with early-stage founders?,I have no engagement; I have no understanding,I am token engagement; I am superficial,I am real engagement; I am learning from,I am deep engagement; I am mutually beneficial,I am legendary partner; I am founders seek
L0,Conception (Spark),Resilience,D4,Dimension,10,0.1,Enabler (Accelerator),Have you successfully launched programs?,I am programs failed; I am alumni struggled,I am limited success; I am unclear model,I am several successful cohorts; I am learning,I am proven model; I am alumni thriving,I am legendary program; I am top-tier alumni
L0,Conception (Spark),Resilience,D4,Dimension,10,0.1,Facilitator (Services),Have you worked with bootstrapped founders?,I have no bootstrap experience; I am wrong fit,I am limited experience; I miss nuances,I am real bootstrap experience; I am helpful,I am deep bootstrap expertise; I am specific,I am bootstrap legend; I am founder-beloved
L0,Conception (Spark),Resilience,D4,Dimension,10,0.1,Government/Policy,Have you successfully supported ecosystems?,I have no ecosystem support; I am unhelpful,I am limited support; I am minimal impact,I am real support given; I am some successes,I am proven ecosystem support; I am growth,I am legendary ecosystem builder; I am transform
L0,Conception (Spark),Resilience,D4,Dimension,10,0.1,Influencer/Media,Have you amplified early-stage founders?,I have no early-stage amplification; I am missed,I am occasional early features; I am inconsistent,I am regular early-stage coverage; I am audience,I am actively amplifies; I create viral,I am early-stage champion; I am launches movements
L0,Conception (Spark),Resilience,D4,Dimension,10,0.1,Mentor,Have you successfully mentored first-time founders?,I have no mentee exits; I am all failed,I am few exits; I am learning process,I am several successful mentees; I am pattern,I am multiple successful mentees; I am track,I am legendary mentor; I am industry leaders
L0,Conception (Spark),Resilience,D4,Dimension,10,0.1,Professional (Talent),Have you worked in high-uncertainty environments?,I have no high-uncertainty; I am risk-averse,I am some uncertainty; I am mostly stable,I am managed uncertainty; I am comfortable,I am thrived in uncertainty; I am sought,I am built companies in chaos; I am expert
L0,Conception (Spark),Resilience,D5,Dimension,10,0.1,Startup (Founder),Do you have time/energy commitment needed?,I am full-time job; I have no bandwidth,I am limited time; I am competing priorities,I can dedicate 20-30 hrs/week,I can dedicate 40+ hrs/week,I am all-in; I am restructured entire life
L0,Conception (Spark),Resilience,D5,Dimension,10,0.1,Investor,Do you have resources for early-stage?,I have no early-stage capital; I am late only,I am small allocation; I am insufficient,I am meaningful early-stage ready,I am dedicated early-stage fund; I am patient,I am legendary deployer; I am deep pockets
L0,Conception (Spark),Resilience,D5,Dimension,10,0.1,Corporate Partner,Can you allocate resources to innovation?,I have no resources; I am token only,I am minimal resources; I am half-hearted,I am clear allocation; I am real commitment,I am significant resources; I am structural,I am transformation resources; I am innovation-focused
L0,Conception (Spark),Resilience,D5,Dimension,10,0.1,Enabler (Accelerator),Do you have resources for early-stage?,I have no resources; I cannot support,I am limited resources; I am insufficient,I am resources available; I can help,I am well-resourced; I am real support,I am legendary resources; I am founder-supported
L0,Conception (Spark),Resilience,D5,Dimension,10,0.1,Facilitator (Services),Can you operate with minimal payment?,I am expensive; I am unaffordable for early-stage,I am moderate cost; I am challenging for founders,I am low-cost; I am accessible to founders,I am minimal cost; I am almost free,I am free or equity-based; I am founder-first
L0,Conception (Spark),Resilience,D5,Dimension,10,0.1,Government/Policy,Can you allocate meaningful grants?,I have no grants; I have no incentives,I am minimal incentives; I am unclear,I am clear grants; I am some support,I am substantial grants; I am accessible,I am major grants; I am transformative incentives
L0,Conception (Spark),Resilience,D5,Dimension,10,0.1,Influencer/Media,Do you have audience and reach?,I have no audience; I have no reach,I am small niche; I am limited reach,I am growing audience; I am relevant,I am large audience; I am trusted platform,I am mega-audience; I am cultural influence
L0,Conception (Spark),Resilience,D5,Dimension,10,0.1,Mentor,Can you provide time/presence?,I have no time; I am unavailable,I am limited time; I am sporadic contact,I am regular commitment; I am reliable,I am consistent presence; I am always available,I am legendary availability; I am transforms
L0,Conception (Spark),Resilience,D5,Dimension,10,0.1,Professional (Talent),Can you operate with minimal resources?,I am salary dependent; I cannot lean,I prefer salary; I am hesitant equity,I can operate equity + modest,I am thriving on equity; I am minimal cash,I am all-equity; I am pure founder mindset
L0,Conception (Spark),Resilience,D6,Dimension,10,0.1,Startup (Founder),Do you have unique perspective/advantage?,I have no unique advantages; I am standard,I am minor advantages; I am not different,I am one clear advantage identified,I am multiple advantages; I am competitive edge,I am rare combination; I am only vantage
L0,Conception (Spark),Resilience,D6,Dimension,10,0.1,Investor,Do you have unique sourcing network?,I am generic network; I am everyone has,I am some network; I am limited advantage,I am strong founder network; I am sourcing,I am exceptional network; I am pre-traction,I am legendary network; I am hidden gems
L0,Conception (Spark),Resilience,D6,Dimension,10,0.1,Corporate Partner,Do you have unique industry insights?,I am generic insights; I am public info,I am some insights; I am incomplete,I am deep industry insights; I am proprietary,I am transformative insider perspective,I am industry legend; I am defines future
L0,Conception (Spark),Resilience,D6,Dimension,10,0.1,Enabler (Accelerator),Do you offer unique mental health support?,I have no mental health; I am missing,I am basic mental health resources,I am dedicated resilience program,I am deep mental health; I am therapy-integrated,I am legendary for wellbeing; I am transform
L0,Conception (Spark),Resilience,D6,Dimension,10,0.1,Facilitator (Services),Do you bring unique perspectives?,I am generic approach; I am non-specific,I am standard advice; I am limited,I am unique founder psychology,I am deep founder understanding; I am transform,I am founder whisperer; I am unmatched
L0,Conception (Spark),Resilience,D6,Dimension,10,0.1,Government/Policy,Do you have unique policy levers?,I have no unique levers; I am generic,I am standard tools; I am limited,I am some unique levers; I am meaningful,I am unique combinations; I am powerful,I am policy innovator; I create advantage
